species	mass
Mandrillus_leucophaeus	9087.5
Mandrillus_sphinx	11916.67
Miopithecus_talapoin	1093.33
Nasalis_larvatus	9462.6
Papio_hamadryas	14028.57
Presbytis_comata	6200
Presbytis_rubicunda	6300
Presbytis_potenziani	6400
Presbytis_melalophos	6600
Procolobus_verus	3600
Procolobus_badius	6163.5
Pygathrix_bieti	9960
Pygathrix_nemaeus	8310
Semnopithecus_entellus	11253.33
Theropithecus_gelada	12242.33
Trachypithecus_francoisi	7325
Trachypithecus_geei	8100
Trachypithecus_johnii	12000
Trachypithecus_cristatus	6572
Trachypithecus_vetulus	7081.75
Trachypithecus_obscurus	6426
Trachypithecus_phayrei	8400
Cheirogaleus_major	394.2
Cheirogaleus_medius	170.6
Microcebus_rufus	69
Microcebus_coquereli	306.67
Microcebus_murinus	71
Phaner_furcifer	400
Daubentonia_madagascariensis	2610.33
Euoticus_elegantulus	280
Galago_alleni	289.2
Galago_moholi	180
Galago_senegalensis	171.38
Galagoides_demidoff	66
Galagoides_zanzibaricus	144
Otolemur_crassicaudatus	1143.33
Otolemur_garnettii	731.33
Gorilla_gorilla	101386.11
Pan_troglodytes	37618.18
Pan_paniscus	32733.33
Pongo_pygmaeus	37115.6
Hylobates_moloch	6048.4
Hylobates_klossii	5900
Hylobates_hoolock	6500
Hylobates_concolor	6389.67
Hylobates_agilis	5666.67
Hylobates_syndactylus	9554.67
Hylobates_lar	5050.56
Avahi_laniger	1094.43
Indri_indri	7918
Propithecus_tattersalli	3545
Propithecus_diadema	6260
Propithecus_verreauxi	3657.13
Eulemur_rubriventer	1765.33
Eulemur_macaco	2171.83
Eulemur_mongoz	1666.2
Eulemur_coronatus	1389.25
Eulemur_fulvus	2426.29
Hapalemur_aureus	1390
Hapalemur_griseus	1202.71
Lemur_catta	2466.67
Varecia_variegata	3431.43
Arctocebus_calabarensis	314.14
Loris_tardigradus	237
Nycticebus_pygmaeus	307
Nycticebus_coucang	966.2
Perodicticus_potto	1083.5
Lepilemur_leucopus	700
Lepilemur_ruficaudatus	779
Lepilemur_mustelinus	713
Tarsius_pumilis	-999
Tarsius_dianae	107
Tarsius_syrichta	112
Tarsius_bancanus	101.2
Tarsius_spectrum	179.6
Elephas_maximus	3178000
Loxodonta_africana	3507000
Abrocoma_cinerea	250
Abrocoma_bennetti	307
Agouti_paca	9000
Anomalurus_beecrofti	389
Anomalurus_derbianus	770
Anomalurus_pelii	1650
Idiurus_zenkeri	15.75
Aplodontia_rufa	687
Bathyergus_suillus	635
Bathyergus_janetta	332
Cryptomys_damarensis	144
Cryptomys_hottentotus	132.5
Cryptomys_ochraceocinereus	200
Georychus_capensis	181
Heliophobius_argenteocinereus	160
Heterocephalus_glaber	35
Capromys_pilorides	4683.33
Geocapromys_ingrahami	660
Geocapromys_brownii	1500
Mysateles_melanurus	-999
Mysateles_prehensilis	-999
Plagiodontia_aedium	1267
Castor_fiber	19000
Castor_canadensis	19606.67
Cavia_tschudii	637.5
Cavia_aperea	341
Cavia_porcellus	728
Dolichotis_salinicola	1600
Dolichotis_patagonum	12500
Galea_spixii	326
Galea_musteloides	337.85
Kerodon_rupestris	950
Microcavia_australis	350
Chinchilla_brevicaudata	500
Chinchilla_lanigera	642.5
Lagidium_viscacia	600
Lagidium_peruanum	1270
Lagostomus_maximus	3250
Ctenodactylus_vali	174.75
Ctenodactylus_gundi	288.8
Massoutiera_mzabi	194
Ctenomys_torquatus	275
Ctenomys_haigi	164
Ctenomys_peruanus	490
Ctenomys_talarum	100
Ctenomys_opimus	400
Dasyprocta_punctata	2675
Dasyprocta_cristata	2650
Dasyprocta_leporina	3265
Myoprocta_acouchy	775
Dinomys_branickii	12500
Allactaga_tetradactyla	52
Allactaga_euphratica	35.9
Allactaga_sibirica	117.5
Allactaga_elater	58.67
Dipus_sagitta	87
Eremodipus_lichtensteini	51
Jaculus_orientalis	134
Jaculus_jaculus	55
Jaculus_turcmenicus	-999
Napaeozapus_insignis	21.33
Pygeretmus_platyurus	-999
Pygeretmus_pumilio	52.33
Salpingotus_crassicauda	-999
Sicista_napaea	-999
Sicista_betulina	8
Stylodipus_telum	55
Zapus_princeps	28.75
Zapus_trinotatus	24
Zapus_hudsonius	18.25
Echimys_chrysurus	640
Hoplomys_gymnurus	504
Kannabateomys_amblyonyx	460
Makalata_armata	276
Proechimys_cayennensis	356.5
Proechimys_semispinosus	500
Proechimys_guairae	350
Thrichomys_apereoides	373.5
Coendou_prehensilis	3900
Erethizon_dorsatum	9000
Sphiggurus_villosus	1750
Sphiggurus_mexicanus	2000
Geomys_bursarius	176.67
Geomys_pinetis	142.5
Geomys_personatus	397
Geomys_arenarius	210
Orthogeomys_hispidus	650
Orthogeomys_cherriei	225
Pappogeomys_castanops	266
Thomomys_clusius	-999
Thomomys_monticola	80
Thomomys_umbrinus	100
Thomomys_talpoides	91.4
Thomomys_bulbivorus	359.9
Thomomys_bottae	103.5
Thomomys_townsendii	233
Chaetodipus_nelsoni	14.4
Chaetodipus_penicillatus	15.23
Chaetodipus_californicus	25.5
Chaetodipus_intermedius	16.5
Chaetodipus_fallax	18.7
Chaetodipus_formosus	19.45
Chaetodipus_hispidus	35.25
Dipodomys_elephantinus	85
Dipodomys_nitratoides	35.5
Dipodomys_panamintinus	72.4
Dipodomys_microps	55.16
Dipodomys_agilis	60.57
Dipodomys_stephensi	64.5
Dipodomys_venustus	82
Dipodomys_merriami	40
Dipodomys_spectabilis	119.6
Dipodomys_californicus	84.96
Dipodomys_ingens	132
Dipodomys_heermanni	65
Dipodomys_ordii	54.5
Dipodomys_deserti	112
Heteromys_anomalus	70
Heteromys_oresterus	81
Heteromys_goldmani	85
Heteromys_desmarestianus	77
Liomys_pictus	50
Liomys_irroratus	42.5
Liomys_adspersus	65
Liomys_salvini	41
Microdipodops_pallidus	13.55
Microdipodops_megacephalus	13.45
Perognathus_fasciatus	11.55
Perognathus_longimembris	9
Perognathus_flavus	7.83
Perognathus_flavescens	9
Perognathus_parvus	20.1
Perognathus_merriami	8
Perognathus_inornatus	8.65
Hydrochaeris_hydrochaeris	55000
Atherurus_macrourus	2000
Atherurus_africanus	3180
Hystrix_pumila	2740
Hystrix_brachyura	8000
Hystrix_indica	14650
Hystrix_cristata	18333.33
Hystrix_africaeaustralis	15680
Acomys_percivali	-999
Acomys_russatus	54.43
Acomys_wilsoni	20
Acomys_cahirinus	45.25
Aethomys_hindei	107
Aethomys_kaiseri	198
Aethomys_chrysophilus	78.55
Aethomys_namaquensis	47.56
Akodon_varius	37.3
Akodon_cursor	39.7
Akodon_boliviensis	25.95
Akodon_molinae	33
Akodon_dolores	50
Akodon_azarae	27.33
Akodon_longipilis	37.55
Akodon_olivaceus	28.03
Akodon_urichi	50
Allocricetulus_eversmanni	-999
Alticola_roylei	35
Alticola_strelzowi	50
Alticola_argentatus	37.7
Apodemus_argenteus	-999
Apodemus_peninsulae	32.9
Apodemus_uralensis	-999
Apodemus_mystacinus	45.6
Apodemus_flavicollis	29.35
Apodemus_agrarius	21.5
Apodemus_sylvaticus	23.38
Arborimus_pomo	36
Arborimus_longicaudus	23
Arborimus_albipes	23
Arvicanthis_niloticus	64.5
Arvicola_sapidus	187.5
Arvicola_terrestris	120
Auliscomys_micropus	72.6
Baiomys_taylori	7.83
Bandicota_indica	545
Bandicota_bengalensis	166.67
Beamys_hindei	101.67
Bolomys_lasiurus	39.93
Calomys_lepidus	26.6
Calomys_laucha	34
Calomys_hummelincki	27
Calomys_callosus	41
Calomys_musculinus	17.6
Calomyscus_bailwardi	20.4
Calomyscus_mystax	20.4
Cannomys_badius	650
Chionomys_nivalis	54
Chionomys_gud	-999
Chiropodomys_gliroides	25.5
Chiruromys_vates	43.4
Clethrionomys_gapperi	20.57
Clethrionomys_rufocanus	29.5
Clethrionomys_glareolus	20.77
Clethrionomys_californicus	23.6
Clethrionomys_rutilus	25
Colomys_goslingi	58.5
Conilurus_penicillatus	144
Cremnomys_blanfordi	14.1
Cremnomys_cutchicus	59.8
Cricetomys_gambianus	1092.6
Cricetulus_barabensis	-999
Cricetulus_migratorius	30.8
Cricetus_cricetus	506.67
Dasymys_incomtus	106.18
Dendromus_messorius	-999
Dendromus_kahuziensis	-999
Dendromus_mystacalis	7.2
Dendromus_mesomelas	10.6
Dendromus_melanotis	7.36
Dephomys_defua	45
Desmodilliscus_braueri	10
Desmodillus_auricularis	54.5
Dicrostonyx_unalascensis	-999
Dicrostonyx_richardsoni	55
Dicrostonyx_hudsonius	57
Dicrostonyx_torquatus	85
Dicrostonyx_groenlandicus	55.05
Dinaromys_bogdanovi	56
Eligmodontia_typus	21.4
Ellobius_fuscocapillus	80
Ellobius_talpinus	38
Eolagurus_luteus	26
Gerbillurus_setzeri	38.6
