name	mean_pH	stdev	nb_sequences
C8_S10_102_4	6.68	0	406
C8_S10_12_13	6.66	0	82
C8_S10_139_2	6.2	0	1903
C8_S10_146_3	5.72	0	1407
C8_S10_209_3	6.66	0	25
C8_S10_301_2	4.5	0	24
C8_S19_111_4	6.62	0	1419
C8_S20_166_4	6.48	0	343
C8_S20_356_2	5.9	0	48
C8_S20_453_2	6.4	0	2
C8_S20_555_2	6.4	0	2
C8_S23_141_2	5.21	0	11
C8_S23_396_2	5.69	0	31
C8_S23_546_2	6.18	0	2
C8_S30_204_2	6.77	0	2
C8_S38_240_2	6.68	0	8
C8_S38_307_2	6.68	0	2
C8_S4_199_2	4.83	0	2
C8_S45_463_2	7	0	2
C9_S14_116_2	8.31	0	249
C9_S27_1075_2	8.04	0	29
C9_S27_300_3	8.04	0	3
C9_S37_101_3	8.46	0	25
C9_S37_115_3	8.46	0	5
C9_S37_174_4	8.47	0	29
C9_S37_248_3	8.46	0	5
C9_S37_255_2	8.46	0	2
C9_S37_274_2	8.46	0	2
C9_S37_45_4	8.46	0	4
C9_S37_61_4	8.46	0	4
C9_S7_213_2	8.52	0	2
